sample_id,model_name,task_type,description,actions,expected_result
169,process_75.bpmn,legality,legality_small_true,"start_(1), the_customer_goes_to_the_robot(start,1), the_customer_goes_to_the_robot(end,1), the_robot_asks_an_order_(start,1), the_robot_asks_an_order_(end,1)",True
170,process_75.bpmn,legality,legality_small_false,"start_(1), the_robot_asks_an_order_(start,1), the_robot_asks_an_order_(end,1), the_customer_goes_to_the_robot(start,1), the_customer_goes_to_the_robot(end,1)",False
171,process_75.bpmn,legality,legality_large_true,"start_(1), the_customer_goes_to_the_robot(start,1), the_customer_goes_to_the_robot(end,1), the_robot_asks_an_order_(start,1), the_robot_asks_an_order_(end,1), the_robot_prepares_the_burger(start,1), the_robot_prepares_the_burger(end,1), the_robot_gives_an_order_status(start,1), the_robot_gives_an_order_status(end,1)",True
172,process_75.bpmn,legality,legality_large_false,"start_(1), the_robot_asks_an_order_(start,1), the_robot_asks_an_order_(end,1), the_customer_goes_to_the_robot(start,1), the_customer_goes_to_the_robot(end,1), the_robot_asks_fries_or_wedges_(start,1), the_robot_asks_fries_or_wedges_(end,1,no), the_robot_makes_the_wedges(start,1), the_robot_makes_the_wedges(end,1), the_customer_tells_drink_size(start,1), the_customer_tells_drink_size(end,1), the_robots_starts_to_make_the_drink(start,1), the_robots_starts_to_make_the_drink(end,1)",False
173,process_75.bpmn,conformance,conformance_small_true,"the_robot_asks_an_order_(end,1), the_robot_asks_an_order_(start,1), the_customer_goes_to_the_robot(end,1), the_customer_goes_to_the_robot(start,1), acquire(1, main_process), start_(1)",True
174,process_75.bpmn,conformance,conformance_small_false,"the_robot_asks_an_order_(end,1), the_robot_asks_an_order_(start,1), acquire(1, main_process), start_(1)",False
175,process_75.bpmn,conformance,conformance_large_true,"the_robots_starts_to_make_the_drink(end,1), the_robots_starts_to_make_the_drink(start,1), the_customer_tells_drink_size(end,1), the_customer_tells_drink_size(start,1), the_robot_makes_the_wedges(end,1), the_robot_makes_the_wedges(start,1), the_robot_asks_fries_or_wedges_(end,1,no), the_robot_asks_fries_or_wedges_(start,1), the_robot_asks_an_order_(end,1), the_robot_asks_an_order_(start,1), the_customer_goes_to_the_robot(end,1), the_customer_goes_to_the_robot(start,1), acquire(1, main_process), start_(1)",True
176,process_75.bpmn,conformance,conformance_large_false,"the_robots_starts_to_make_the_drink(end,1), the_robots_starts_to_make_the_drink(start,1), the_robot_makes_the_fries(end,1), the_robot_makes_the_fries(start,1), the_customer_tells_drink_size(end,1), the_customer_tells_drink_size(start,1), the_robot_asks_fries_or_wedges_(end,1), the_robot_asks_fries_or_wedges_(start,1), the_customer_goes_to_the_robot(end,1), the_customer_goes_to_the_robot(start,1), the_robot_asks_an_order_(end,1), the_robot_asks_an_order_(start,1), acquire(1, main_process), start_(1)",False
177,process_56.bpmn,legality,legality_small_true,"phone_is_broken(1), enter_manufacturer(start,1), enter_manufacturer(end,1)",True
178,process_56.bpmn,legality,legality_small_false,"phone_is_broken(1), enter_model(start,1), enter_model(end,1), enter_manufacturer(start,1), enter_manufacturer(end,1)",False
179,process_56.bpmn,legality,legality_large_true,"phone_is_broken(1), enter_manufacturer(start,1), enter_manufacturer(end,1), enter_model(start,1), enter_model(end,1), enter_broken_part(start,1), enter_broken_part(end,1,no), compute_necessary_tools(start,1), compute_necessary_tools(end,1), compute_parts_list(start,1), compute_parts_list(end,1), check_list_with_own_inventory_toolscrew(start,1), check_list_with_own_inventory_toolscrew(end,1,no)",True
180,process_56.bpmn,legality,legality_large_false,"phone_is_broken(1), enter_model(start,1), enter_model(end,1), enter_manufacturer(start,1), enter_manufacturer(end,1), enter_broken_part(start,1), enter_broken_part(end,1,no), compute_necessary_tools(start,1), compute_necessary_tools(end,1), compute_parts_list(start,1), compute_parts_list(end,1)",False
181,process_56.bpmn,conformance,conformance_small_true,"enter_model(end,1), enter_model(start,1), enter_manufacturer(end,1), enter_manufacturer(start,1), acquire(1, main_process), phone_is_broken(1)",True
182,process_56.bpmn,conformance,conformance_small_false,"enter_manufacturer(end,1), enter_manufacturer(start,1), enter_model(end,1), enter_model(start,1), acquire(1, main_process), phone_is_broken(1)",False
183,process_56.bpmn,conformance,conformance_large_true,"compute_parts_list(end,1), compute_parts_list(start,1), compute_necessary_tools(end,1), compute_necessary_tools(start,1), enter_broken_part(end,1,no), enter_broken_part(start,1), enter_model(end,1), enter_model(start,1), enter_manufacturer(end,1), enter_manufacturer(start,1), acquire(1, main_process), phone_is_broken(1)",True
184,process_56.bpmn,conformance,conformance_large_false,"compute_necessary_tools(end,1), compute_necessary_tools(start,1), enter_broken_part(end,1,no), enter_broken_part(start,1), enter_manufacturer(end,1), enter_manufacturer(start,1), enter_model(end,1), enter_model(start,1), acquire(1, main_process), phone_is_broken(1)",False
185,process_6.bpmn,legality,legality_small_true,"job_application_started(1), check_registration_on_e_government_website(start,1), check_registration_on_e_government_website(end,1,yes), write_a_job_application(start,1), write_a_job_application(end,1), check_to_which_companies_a_job_application_is_written(start,1), check_to_which_companies_a_job_application_is_written(end,1)",True
186,process_6.bpmn,legality,legality_small_false,job_application_started(1),False
187,process_6.bpmn,legality,legality_large_true,"job_application_started(1), check_registration_on_e_government_website(start,1), check_registration_on_e_government_website(end,1,yes), write_a_job_application(start,1), write_a_job_application(end,1), check_to_which_companies_a_job_application_is_written(start,1), check_to_which_companies_a_job_application_is_written(end,1), report_to_which_companies_a_job_application_is_sent(start,1), report_to_which_companies_a_job_application_is_sent(end,1), confirm_receipt_of_applications(start,1), confirm_receipt_of_applications(end,1), rate_the_application(start,1), rate_the_application(end,1), get_new_potential_job_offers(start,1), get_new_potential_job_offers(end,1,yes), negotiate_for_an_interview_(start,1), negotiate_for_an_interview_(end,1)",True
188,process_6.bpmn,legality,legality_large_false,"job_application_started(1), request_for_registration_on_e_government_website_(start,1), request_for_registration_on_e_government_website_(end,1)",False
189,process_6.bpmn,conformance,conformance_small_true,"check_to_which_companies_a_job_application_is_written(end,1), check_to_which_companies_a_job_application_is_written(start,1), write_a_job_application(end,1), write_a_job_application(start,1), check_registration_on_e_government_website(end,1,yes), check_registration_on_e_government_website(start,1), acquire(1, main_process), job_application_started(1)",True
190,process_6.bpmn,conformance,conformance_small_false,"acquire(1, main_process), job_application_started(1)",False
191,process_6.bpmn,conformance,conformance_large_true,"negotiate_for_an_interview_(end,1), negotiate_for_an_interview_(start,1), get_new_potential_job_offers(end,1,yes), get_new_potential_job_offers(start,1), rate_the_application(end,1), rate_the_application(start,1), confirm_receipt_of_applications(end,1), confirm_receipt_of_applications(start,1), report_to_which_companies_a_job_application_is_sent(end,1), report_to_which_companies_a_job_application_is_sent(start,1), check_to_which_companies_a_job_application_is_written(end,1), check_to_which_companies_a_job_application_is_written(start,1), write_a_job_application(end,1), write_a_job_application(start,1), check_registration_on_e_government_website(end,1,yes), check_registration_on_e_government_website(start,1), acquire(1, main_process), job_application_started(1)",True
192,process_6.bpmn,conformance,conformance_large_false,"request_for_registration_on_e_government_website_(end,1), request_for_registration_on_e_government_website_(start,1), acquire(1, main_process), job_application_started(1)",False
193,process_7.bpmn,legality,legality_small_true,"start_(1), receive_an_offer(start,1), receive_an_offer(end,1,yes)",True
194,process_7.bpmn,legality,legality_small_false,"start_(1), send_the_report_(start,1), send_the_report_(end,1)",False
195,process_7.bpmn,legality,legality_large_true,"start_(1), receive_an_offer(start,1), receive_an_offer(end,1,yes), dont_send_the_report(start,1), dont_send_the_report(end,1), get_application_rating_(start,1), get_application_rating_(end,1), get_read_confirmation_(start,1), get_read_confirmation_(end,1)",True
196,process_7.bpmn,legality,legality_large_false,"start_(1), send_the_report_(start,1), send_the_report_(end,1), receive_an_offer(start,1), receive_an_offer(end,1,no), get_application_rating_(start,1), get_application_rating_(end,1), get_read_confirmation_(start,1), get_read_confirmation_(end,1)",False
197,process_7.bpmn,conformance,conformance_small_true,"receive_an_offer(end,1,yes), receive_an_offer(start,1), acquire(1, main_process), start_(1)",True
198,process_7.bpmn,conformance,conformance_small_false,"send_the_report_(end,1), send_the_report_(start,1), acquire(1, main_process), start_(1)",False
199,process_7.bpmn,conformance,conformance_large_true,"get_read_confirmation_(end,1), get_read_confirmation_(start,1), get_application_rating_(end,1), get_application_rating_(start,1), dont_send_the_report(end,1), dont_send_the_report(start,1), receive_an_offer(end,1,yes), receive_an_offer(start,1), acquire(1, main_process), start_(1)",True
200,process_7.bpmn,conformance,conformance_large_false,"get_read_confirmation_(end,1), get_read_confirmation_(start,1), get_application_rating_(end,1), get_application_rating_(start,1), receive_an_offer(end,1,no), receive_an_offer(start,1), send_the_report_(end,1), send_the_report_(start,1), acquire(1, main_process), start_(1)",False
201,process_31.bpmn,legality,legality_small_true,"create_a_farming_bot(1), give_bot_a_name(start,1), give_bot_a_name(end,1), choose_resource_preferences(start,1), choose_resource_preferences(end,1), generate_resource_preference_list_from_input(start,1), generate_resource_preference_list_from_input(end,1,no), farm_wood(start,1), farm_wood(end,1)",True
202,process_31.bpmn,legality,legality_small_false,"create_a_farming_bot(1), choose_resource_preferences(start,1), choose_resource_preferences(end,1), give_bot_a_name(start,1), give_bot_a_name(end,1), generate_resource_preference_list_from_input(start,1), generate_resource_preference_list_from_input(end,1,no)",False
203,process_31.bpmn,legality,legality_large_true,"create_a_farming_bot(1), give_bot_a_name(start,1), give_bot_a_name(end,1), choose_resource_preferences(start,1), choose_resource_preferences(end,1), generate_resource_preference_list_from_input(start,1), generate_resource_preference_list_from_input(end,1,no), farm_wood(start,1), farm_wood(end,1), farm_iron(start,1), farm_iron(end,1), iron_and1(start,1), iron_and1(end,1), wood_and1(start,1), wood_and1(end,1), farm_stone(start,1), farm_stone(end,1)",True
204,process_31.bpmn,legality,legality_large_false,"create_a_farming_bot(1), choose_resource_preferences(start,1), choose_resource_preferences(end,1), give_bot_a_name(start,1), give_bot_a_name(end,1), generate_resource_preference_list_from_input(start,1), generate_resource_preference_list_from_input(end,1,no), farm_wood(start,1), farm_wood(end,1), farm_iron(start,1), farm_iron(end,1), iron_and1(start,1), iron_and1(end,1), wood_and1(start,1), wood_and1(end,1), farm_stone(start,1), farm_stone(end,1), stone_and1(start,1), stone_and1(end,1)",False
205,process_31.bpmn,conformance,conformance_small_true,"generate_resource_preference_list_from_input(end,1,no), generate_resource_preference_list_from_input(start,1), choose_resource_preferences(end,1), choose_resource_preferences(start,1), give_bot_a_name(end,1), give_bot_a_name(start,1), acquire(1, main_process), create_a_farming_bot(1)",True
206,process_31.bpmn,conformance,conformance_small_false,"farm_wood(end,1), farm_wood(start,1), generate_resource_preference_list_from_input(end,1,no), generate_resource_preference_list_from_input(start,1), give_bot_a_name(end,1), give_bot_a_name(start,1), choose_resource_preferences(end,1), choose_resource_preferences(start,1), acquire(1, main_process), create_a_farming_bot(1)",False
207,process_31.bpmn,conformance,conformance_large_true,"wood_and1(end,1), wood_and1(start,1), iron_and1(end,1), iron_and1(start,1), farm_iron(end,1), farm_iron(start,1), farm_wood(end,1), farm_wood(start,1), generate_resource_preference_list_from_input(end,1,no), generate_resource_preference_list_from_input(start,1), choose_resource_preferences(end,1), choose_resource_preferences(start,1), give_bot_a_name(end,1), give_bot_a_name(start,1), acquire(1, main_process), create_a_farming_bot(1)",True
208,process_31.bpmn,conformance,conformance_large_false,"iron_and1(end,1), iron_and1(start,1), farm_iron(end,1), farm_iron(start,1), farm_wood(end,1), farm_wood(start,1), generate_resource_preference_list_from_input(end,1,no), generate_resource_preference_list_from_input(start,1), give_bot_a_name(end,1), give_bot_a_name(start,1), choose_resource_preferences(end,1), choose_resource_preferences(start,1), acquire(1, main_process), create_a_farming_bot(1)",False
209,process_84.bpmn,legality,legality_small_true,"process_started(1), select_a_starting_block(start,1), select_a_starting_block(end,1)",True
210,process_84.bpmn,legality,legality_small_false,"process_started(1), measure_the_time(start,1), measure_the_time(end,1), select_a_starting_block(start,1), select_a_starting_block(end,1)",False
211,process_84.bpmn,legality,legality_large_true,"process_started(1), select_a_starting_block(start,1), select_a_starting_block(end,1), measure_the_time(start,1), measure_the_time(end,1), run_for_5km(start,1), run_for_5km(end,1), get_your_starting_number(start,1), get_your_starting_number(end,1)",True
212,process_84.bpmn,legality,legality_large_false,"process_started(1), measure_the_time(start,1), measure_the_time(end,1), select_a_starting_block(start,1), select_a_starting_block(end,1), run_for_5km(start,1), run_for_5km(end,1), get_your_starting_number(start,1), get_your_starting_number(end,1), calculate_time_between_starting_time_and_the_end_of_workday(start,1), calculate_time_between_starting_time_and_the_end_of_workday(end,1,yes)",False
213,process_84.bpmn,conformance,conformance_small_true,"select_a_starting_block(end,1), select_a_starting_block(start,1), acquire(1, main_process), process_started(1)",True
214,process_84.bpmn,conformance,conformance_small_false,"select_a_starting_block(end,1), select_a_starting_block(start,1), measure_the_time(end,1), measure_the_time(start,1), acquire(1, main_process), process_started(1)",False
215,process_84.bpmn,conformance,conformance_large_true,"get_your_starting_number(end,1), get_your_starting_number(start,1), run_for_5km(end,1), run_for_5km(start,1), measure_the_time(end,1), measure_the_time(start,1), select_a_starting_block(end,1), select_a_starting_block(start,1), acquire(1, main_process), process_started(1)",True
216,process_84.bpmn,conformance,conformance_large_false,"calculate_time_between_starting_time_and_the_end_of_workday(end,1,yes), calculate_time_between_starting_time_and_the_end_of_workday(start,1), get_your_starting_number(end,1), get_your_starting_number(start,1), run_for_5km(end,1), run_for_5km(start,1), select_a_starting_block(end,1), select_a_starting_block(start,1), measure_the_time(end,1), measure_the_time(start,1), acquire(1, main_process), process_started(1)",False
217,process_44.bpmn,legality,legality_small_true,"receive_order(1), status_in_production(start,1), status_in_production(end,1), request_additional_parts(1), receive_answer(1), build_base_model(start,1), build_base_model(end,1)",True
218,process_44.bpmn,legality,legality_small_false,"receive_order(1), request_additional_parts(1), status_in_production(start,1), status_in_production(end,1), receive_answer(1), build_base_model(start,1), build_base_model(end,1)",False
219,process_44.bpmn,legality,legality_large_true,"receive_order(1), status_in_production(start,1), status_in_production(end,1), request_additional_parts(1), receive_answer(1), build_base_model(start,1), build_base_model(end,1), adjust_order(start,1), adjust_order(end,1), number_of_seats(start,1), number_of_seats(end,1), color_of_seats(start,1), color_of_seats(end,1), black(start,1), black(end,1), select_bar_type(start,1), select_bar_type(end,1), vodka_bar(start,1), vodka_bar(end,1)",True
220,process_44.bpmn,legality,legality_large_false,"receive_order(1), request_additional_parts(1), status_in_production(start,1), status_in_production(end,1), receive_answer(1), build_base_model(start,1), build_base_model(end,1), adjust_order(start,1), adjust_order(end,1), number_of_seats(start,1), number_of_seats(end,1), color_of_seats(start,1), color_of_seats(end,1), select_bar_type(start,1), select_bar_type(end,1), vodka_bar(start,1), vodka_bar(end,1), amount_of_toilet_water(start,1), amount_of_toilet_water(end,1)",False
221,process_44.bpmn,conformance,conformance_small_true,"build_base_model(end,1), build_base_model(start,1), receive_answer(1), request_additional_parts(1), status_in_production(end,1), status_in_production(start,1), acquire(1, main_process), receive_order(1)",True
222,process_44.bpmn,conformance,conformance_small_false,"build_base_model(end,1), build_base_model(start,1), receive_answer(1), status_in_production(end,1), status_in_production(start,1), request_additional_parts(1), acquire(1, main_process), receive_order(1)",False
223,process_44.bpmn,conformance,conformance_large_true,"amount_of_toilet_water(end,1), amount_of_toilet_water(start,1), select_bar_type(end,1), select_bar_type(start,1), black(end,1), black(start,1), color_of_seats(end,1), color_of_seats(start,1), number_of_seats(end,1), number_of_seats(start,1), adjust_order(end,1), adjust_order(start,1), build_base_model(end,1), build_base_model(start,1), receive_answer(1), request_additional_parts(1), status_in_production(end,1), status_in_production(start,1), acquire(1, main_process), receive_order(1)",True
224,process_44.bpmn,conformance,conformance_large_false,"amount_of_toilet_water(end,1), amount_of_toilet_water(start,1), whiskey_bar(end,1), whiskey_bar(start,1), select_bar_type(end,1), select_bar_type(start,1), color_of_seats(end,1), color_of_seats(start,1), number_of_seats(end,1), number_of_seats(start,1), adjust_order(end,1), adjust_order(start,1), build_base_model(end,1), build_base_model(start,1), receive_answer(1), status_in_production(end,1), status_in_production(start,1), request_additional_parts(1), acquire(1, main_process), receive_order(1)",False
225,process_34.bpmn,legality,legality_small_true,"printing_a_3d_model(1), instruct_an_artist(start,1), instruct_an_artist(end,1), send_sketches_to_the_artist(start,1), send_sketches_to_the_artist(end,1)",True
226,process_34.bpmn,legality,legality_small_false,"printing_a_3d_model(1), send_sketches_to_the_artist(start,1), send_sketches_to_the_artist(end,1), instruct_an_artist(start,1), instruct_an_artist(end,1)",False
227,process_34.bpmn,legality,legality_large_true,"printing_a_3d_model(1), instruct_an_artist(start,1), instruct_an_artist(end,1), send_sketches_to_the_artist(start,1), send_sketches_to_the_artist(end,1), review_draft(start,1), review_draft(end,1,yes), choose_plastic_color(start,1), choose_plastic_color(end,1,Color in stock), check_how_much_color_is_left(start,1), check_how_much_color_is_left(end,1,< 100g), put_color_on_shopping_list(start,1), put_color_on_shopping_list(end,1), check_enough_colors_available(start,1), check_enough_colors_available(end,1)",True
228,process_34.bpmn,legality,legality_large_false,"printing_a_3d_model(1), send_sketches_to_the_artist(start,1), send_sketches_to_the_artist(end,1), instruct_an_artist(start,1), instruct_an_artist(end,1), review_draft(start,1), review_draft(end,1,yes), choose_plastic_color(start,1), choose_plastic_color(end,1,no), order_color(start,1), order_color(end,1), check_enough_colors_available(start,1), check_enough_colors_available(end,1)",False
229,process_34.bpmn,conformance,conformance_small_true,"send_sketches_to_the_artist(end,1), send_sketches_to_the_artist(start,1), instruct_an_artist(end,1), instruct_an_artist(start,1), acquire(1, main_process), printing_a_3d_model(1)",True
230,process_34.bpmn,conformance,conformance_small_false,"review_draft(end,1,yes), review_draft(start,1), instruct_an_artist(end,1), instruct_an_artist(start,1), send_sketches_to_the_artist(end,1), send_sketches_to_the_artist(start,1), acquire(1, main_process), printing_a_3d_model(1)",False
231,process_34.bpmn,conformance,conformance_large_true,"check_enough_colors_available(end,1), check_enough_colors_available(start,1), order_color(end,1), order_color(start,1), choose_plastic_color(end,1,no), choose_plastic_color(start,1), review_draft(end,1,yes), review_draft(start,1), send_sketches_to_the_artist(end,1), send_sketches_to_the_artist(start,1), instruct_an_artist(end,1), instruct_an_artist(start,1), acquire(1, main_process), printing_a_3d_model(1)",True
232,process_34.bpmn,conformance,conformance_large_false,"check_enough_colors_available(end,1), check_enough_colors_available(start,1), check_how_much_color_is_left(end,1,> 100g), check_how_much_color_is_left(start,1), choose_plastic_color(end,1,Color in stock), choose_plastic_color(start,1), review_draft(end,1,yes), review_draft(start,1), instruct_an_artist(end,1), instruct_an_artist(start,1), send_sketches_to_the_artist(end,1), send_sketches_to_the_artist(start,1), acquire(1, main_process), printing_a_3d_model(1)",False
233,process_18.bpmn,legality,legality_small_true,"helath_related_incident(1), user_has_to_push_a_notification_about_incident(start,1), user_has_to_push_a_notification_about_incident(end,1,Employee), employee_documents_the_incident(start,1), employee_documents_the_incident(end,1,Employee)",True
234,process_18.bpmn,legality,legality_small_false,"helath_related_incident(1), employee_documents_the_incident(start,1), employee_documents_the_incident(end,1,Student)",False
235,process_18.bpmn,legality,legality_large_true,"helath_related_incident(1), user_has_to_push_a_notification_about_incident(start,1), user_has_to_push_a_notification_about_incident(end,1,Employer), employer_documents_the_incident(start,1), employer_documents_the_incident(end,1,Employer/Manager), notification_to_the_arbeitsinspektorat(start,1), notification_to_the_arbeitsinspektorat(end,1), case_of_accident_to_employer(start,1), case_of_accident_to_employer(end,1)",True
236,process_18.bpmn,legality,legality_large_false,"helath_related_incident(1), employer_documents_the_incident(start,1), employer_documents_the_incident(end,1,Self-Employed), user_has_to_push_a_notification_about_incident(start,1), user_has_to_push_a_notification_about_incident(end,1,Employer), documentation_of_the_case_in_own_responsibility(start,1), documentation_of_the_case_in_own_responsibility(end,1), documentation_of_self_emloyment_data_and_details_of_incident(start,1), documentation_of_self_emloyment_data_and_details_of_incident(end,1)",False
237,process_18.bpmn,conformance,conformance_small_true,"employee_documents_the_incident(end,1,Employee), employee_documents_the_incident(start,1), user_has_to_push_a_notification_about_incident(end,1,Employee), user_has_to_push_a_notification_about_incident(start,1), acquire(1, main_process), helath_related_incident(1)",True
238,process_18.bpmn,conformance,conformance_small_false,"employee_documents_the_incident(end,1,Student), employee_documents_the_incident(start,1), acquire(1, main_process), helath_related_incident(1)",False
239,process_18.bpmn,conformance,conformance_large_true,"case_of_accident_to_employer(end,1), case_of_accident_to_employer(start,1), notification_to_the_arbeitsinspektorat(end,1), notification_to_the_arbeitsinspektorat(start,1), employer_documents_the_incident(end,1,Employer/Manager), employer_documents_the_incident(start,1), user_has_to_push_a_notification_about_incident(end,1,Employer), user_has_to_push_a_notification_about_incident(start,1), acquire(1, main_process), helath_related_incident(1)",True
240,process_18.bpmn,conformance,conformance_large_false,"documentation_of_self_emloyment_data_and_details_of_incident(end,1), documentation_of_self_emloyment_data_and_details_of_incident(start,1), documentation_of_the_case_in_own_responsibility(end,1), documentation_of_the_case_in_own_responsibility(start,1), user_has_to_push_a_notification_about_incident(end,1,Employer), user_has_to_push_a_notification_about_incident(start,1), employer_documents_the_incident(end,1,Self-Employed), employer_documents_the_incident(start,1), acquire(1, main_process), helath_related_incident(1)",False
241,process_12.bpmn,legality,legality_small_true,"parental_leave_process_initiated(1), check_requirements(start,1), check_requirements(end,1,yes)",True
242,process_12.bpmn,legality,legality_small_false,"parental_leave_process_initiated(1), fetch_information_about_potential_models(start,1), fetch_information_about_potential_models(end,1), check_requirements(start,1), check_requirements(end,1,yes)",False
243,process_12.bpmn,legality,legality_large_true,"parental_leave_process_initiated(1), check_requirements(start,1), check_requirements(end,1,yes), fetch_information_about_potential_models(start,1), fetch_information_about_potential_models(end,1), select_model(start,1), select_model(end,1), collect_notification_info(start,1), collect_notification_info(end,1), notify_social_security(start,1), notify_social_security(end,1), notify_company(start,1), notify_company(end,1), receive_notice(start,1), receive_notice(end,1)",True
244,process_12.bpmn,legality,legality_large_false,parental_leave_process_initiated(1),False
245,process_12.bpmn,conformance,conformance_small_true,"check_requirements(end,1,yes), check_requirements(start,1), acquire(1, main_process), parental_leave_process_initiated(1)",True
246,process_12.bpmn,conformance,conformance_small_false,"check_requirements(end,1,yes), check_requirements(start,1), fetch_information_about_potential_models(end,1), fetch_information_about_potential_models(start,1), acquire(1, main_process), parental_leave_process_initiated(1)",False
247,process_12.bpmn,conformance,conformance_large_true,"receive_notice(end,1), receive_notice(start,1), notify_company(end,1), notify_company(start,1), notify_social_security(end,1), notify_social_security(start,1), collect_notification_info(end,1), collect_notification_info(start,1), select_model(end,1), select_model(start,1), fetch_information_about_potential_models(end,1), fetch_information_about_potential_models(start,1), check_requirements(end,1,yes), check_requirements(start,1), acquire(1, main_process), parental_leave_process_initiated(1)",True
248,process_12.bpmn,conformance,conformance_large_false,"acquire(1, main_process), parental_leave_process_initiated(1)",False
249,process_53.bpmn,legality,legality_small_true,"wish_to_build_a_house(1), collect_requirements(start,1), collect_requirements(end,1)",True
250,process_53.bpmn,legality,legality_small_false,"wish_to_build_a_house(1), send_requirements(start,1), send_requirements(end,1)",False
251,process_53.bpmn,legality,legality_large_true,"wish_to_build_a_house(1), collect_requirements(start,1), collect_requirements(end,1), send_requirements(start,1), send_requirements(end,1), check_feasibility(start,1), check_feasibility(end,1,yes), report_for_builing_permit(start,1), report_for_builing_permit(end,1), create_order_list(start,1), create_order_list(end,1)",True
252,process_53.bpmn,legality,legality_large_false,"wish_to_build_a_house(1), send_requirements(start,1), send_requirements(end,1), collect_requirements(start,1), collect_requirements(end,1), check_feasibility(start,1), check_feasibility(end,1,yes), report_for_builing_permit(start,1), report_for_builing_permit(end,1), create_order_list(start,1), create_order_list(end,1)",False
253,process_53.bpmn,conformance,conformance_small_true,"collect_requirements(end,1), collect_requirements(start,1), acquire(1, main_process), wish_to_build_a_house(1)",True
254,process_53.bpmn,conformance,conformance_small_false,"send_requirements(end,1), send_requirements(start,1), acquire(1, main_process), wish_to_build_a_house(1)",False
255,process_53.bpmn,conformance,conformance_large_true,"create_order_list(end,1), create_order_list(start,1), report_for_builing_permit(end,1), report_for_builing_permit(start,1), check_feasibility(end,1,yes), check_feasibility(start,1), send_requirements(end,1), send_requirements(start,1), collect_requirements(end,1), collect_requirements(start,1), acquire(1, main_process), wish_to_build_a_house(1)",True
256,process_53.bpmn,conformance,conformance_large_false,"create_order_list(end,1), create_order_list(start,1), report_for_builing_permit(end,1), report_for_builing_permit(start,1), check_feasibility(end,1,yes), check_feasibility(start,1), collect_requirements(end,1), collect_requirements(start,1), send_requirements(end,1), send_requirements(start,1), acquire(1, main_process), wish_to_build_a_house(1)",False
257,process_45.bpmn,legality,legality_small_true,"customer_orders_airplane_(1), select_basic_model(start,1), select_basic_model(end,1,yes), customize_basic_model_interior(start,1), customize_basic_model_interior(end,1), colour_of_seats(start,1), colour_of_seats(end,1), amount_of_water_in_the_toilets(start,1), amount_of_water_in_the_toilets(end,1)",True
258,process_45.bpmn,legality,legality_small_false,"customer_orders_airplane_(1), setup_of_standard_interior_with_standard_interior_team(start,1), setup_of_standard_interior_with_standard_interior_team(end,1,yes), select_basic_model(start,1), select_basic_model(end,1,no), use_existing_parts_and_set_them_up(start,1), use_existing_parts_and_set_them_up(end,1)",False
259,process_45.bpmn,legality,legality_large_true,"customer_orders_airplane_(1), select_basic_model(start,1), select_basic_model(end,1,no), setup_of_standard_interior_with_standard_interior_team(start,1), setup_of_standard_interior_with_standard_interior_team(end,1,no), order_parts_and_set_them_up(start,1), order_parts_and_set_them_up(end,1), send_parts_to_assembly_hall(start,1), send_parts_to_assembly_hall(end,1), assembling_of_the_interior(start,1), assembling_of_the_interior(end,1), send_plane_to_a_test_flight(start,1), send_plane_to_a_test_flight(end,1), testing_period(1)",True
260,process_45.bpmn,legality,legality_large_false,"customer_orders_airplane_(1), customize_basic_model_interior(start,1), customize_basic_model_interior(end,1), select_basic_model(start,1), select_basic_model(end,1,yes), colour_of_seats(start,1), colour_of_seats(end,1), amount_of_water_in_the_toilets(start,1), amount_of_water_in_the_toilets(end,1), n5_different_bars(start,1), n5_different_bars(end,1), number_of_seats(start,1), number_of_seats(end,1), send_list_of_requirements_to_different_teams_(start,1), send_list_of_requirements_to_different_teams_(end,1), manufacturing_the_parts_by_different_teams(start,1), manufacturing_the_parts_by_different_teams(end,1), manufacturing_time(1), receivement_of_individual_bits_and_pieces(start,1), receivement_of_individual_bits_and_pieces(end,1)",False
261,process_45.bpmn,conformance,conformance_small_true,"use_existing_parts_and_set_them_up(end,1), use_existing_parts_and_set_them_up(start,1), setup_of_standard_interior_with_standard_interior_team(end,1,yes), setup_of_standard_interior_with_standard_interior_team(start,1), select_basic_model(end,1,no), select_basic_model(start,1), acquire(1, main_process), customer_orders_airplane_(1)",True
262,process_45.bpmn,conformance,conformance_small_false,"order_parts_and_set_them_up(end,1), order_parts_and_set_them_up(start,1), select_basic_model(end,1,no), select_basic_model(start,1), setup_of_standard_interior_with_standard_interior_team(end,1,no), setup_of_standard_interior_with_standard_interior_team(start,1), acquire(1, main_process), customer_orders_airplane_(1)",False
263,process_45.bpmn,conformance,conformance_large_true,"receivement_of_individual_bits_and_pieces(end,1), receivement_of_individual_bits_and_pieces(start,1), manufacturing_time(1), manufacturing_the_parts_by_different_teams(end,1), manufacturing_the_parts_by_different_teams(start,1), send_list_of_requirements_to_different_teams_(end,1), send_list_of_requirements_to_different_teams_(start,1), number_of_seats(end,1), number_of_seats(start,1), n5_different_bars(end,1), n5_different_bars(start,1), amount_of_water_in_the_toilets(end,1), amount_of_water_in_the_toilets(start,1), colour_of_seats(end,1), colour_of_seats(start,1), customize_basic_model_interior(end,1), customize_basic_model_interior(start,1), select_basic_model(end,1,yes), select_basic_model(start,1), acquire(1, main_process), customer_orders_airplane_(1)",True
